2025-05-16 12:49:32,875: Key: g
2025-05-16 12:49:32,973: Key: o
2025-05-16 12:49:33,149: Key: o
2025-05-16 12:49:33,622: Key: g
2025-05-16 12:49:33,876: Key: l
2025-05-16 12:49:34,061: Key: e
2025-05-16 12:49:34,624: Key: .
2025-05-16 12:49:34,941: Key: c
2025-05-16 12:49:35,085: Key: o
2025-05-16 12:49:35,314: Key: m
2025-05-16 12:49:35,651: Special Key: Key.space
2025-05-16 12:49:37,405: Special Key: Key.enter
2025-05-16 12:49:38,629: Special Key: Key.down
2025-05-16 12:49:39,837: Special Key: Key.enter
2025-05-16 12:49:41,844: Special Key: Key.backspace
2025-05-16 12:49:42,070: Special Key: Key.backspace
2025-05-16 12:49:42,546: Special Key: Key.enter
2025-05-16 12:49:55,083: Special Key: Key.esc
